GEO_ID|B01003_E001|B01003_M001
1400000US36047040400|2615|342
1400000US36047040500|1403|340
1400000US36047040600|3924|597
1400000US36047040700|0|13
1400000US36047040800|3724|707
1400000US36047040900|3858|812
1400000US36047041000|1650|526
1400000US36047041100|3001|757
1400000US36047041200|3164|713
1400000US36047041300|3620|762
1400000US36047041401|1182|212
1400000US36047041402|2111|378
1400000US36047041500|4291|744
1400000US36047041600|2105|557
1400000US36047041700|3390|664
1400000US36047041800|2790|562
1400000US36047041900|3417|804
1400000US36047042000|1727|314
1400000US36047042100|4089|545
1400000US36047042200|3102|849
1400000US36047042300|4331|568
1400000US36047042400|3403|674
1400000US36047042500|2913|565
1400000US36047042600|4410|954
1400000US36047042700|4215|694
1400000US36047042800|3852|525
1400000US36047042900|5074|893
1400000US36047043000|3668|495
1400000US36047043100|4023|745
1400000US36047043200|4098|689
1400000US36047043300|3621|728
1400000US36047043400|4061|709
1400000US36047043500|4971|855
1400000US36047043600|4591|701
1400000US36047043700|5228|1133
1400000US36047043800|2383|460
1400000US36047043900|4045|842
1400000US36047044000|2646|532
1400000US36047044100|4884|934
1400000US36047044200|2379|485
1400000US36047044300|4272|521
1400000US36047044400|3084|739
1400000US36047044500|3956|686
1400000US36047044600|2034|373
1400000US36047044700|2470|351
1400000US36047044800|1787|253
1400000US36047044901|2567|647
1400000US36047044902|0|13
1400000US36047045000|863|386
1400000US36047045200|2640|552
1400000US36047045300|1938|201
1400000US36047045400|1951|681
1400000US36047045600|2245|429
1400000US36047045800|1132|248
1400000US36047046000|3335|535
1400000US36047046201|2575|601
1400000US36047046202|1847|366
1400000US36047046400|2768|707
1400000US36047046800|2215|580
1400000US36047047000|2486|494
1400000US36047047200|2958|600
1400000US36047047400|2974|552
1400000US36047047600|3839|922
1400000US36047047700|4102|518
1400000US36047047800|5164|1057
1400000US36047048000|3534|846
1400000US36047048100|2902|838
1400000US36047048200|5455|1166
1400000US36047048400|5371|1230
1400000US36047048500|2371|307
1400000US36047048600|3200|955
1400000US36047048800|4054|709
1400000US36047048900|3228|694
1400000US36047049000|5266|910
1400000US36047049100|7170|1245
1400000US36047049200|2759|514
1400000US36047049301|2169|524
1400000US36047049302|4691|479
1400000US36047049400|5512|728
1400000US36047049500|2939|385
1400000US36047049600|4006|578
1400000US36047049700|3290|410
1400000US36047049800|4163|646
1400000US36047049900|2285|451
1400000US36047050001|2279|400
1400000US36047050002|1726|381
1400000US36047050100|3089|493
1400000US36047050202|2281|377
1400000US36047050300|3044|533
1400000US36047050401|2824|304
1400000US36047050402|1935|716
