GEO_ID|B05009_E001|B05009_M001|B05009_E002|B05009_M002|B05009_E003|B05009_M003|B05009_E004|B05009_M004|B05009_E005|B05009_M005|B05009_E006|B05009_M006|B05009_E007|B05009_M007|B05009_E008|B05009_M008|B05009_E009|B05009_M009|B05009_E010|B05009_M010|B05009_E011|B05009_M011|B05009_E012|B05009_M012|B05009_E013|B05009_M013|B05009_E014|B05009_M014|B05009_E015|B05009_M015|B05009_E016|B05009_M016|B05009_E017|B05009_M017|B05009_E018|B05009_M018|B05009_E019|B05009_M019|B05009_E020|B05009_M020|B05009_E021|B05009_M021|B05009_E022|B05009_M022|B05009_E023|B05009_M023|B05009_E024|B05009_M024|B05009_E025|B05009_M025|B05009_E026|B05009_M026|B05009_E027|B05009_M027|B05009_E028|B05009_M028|B05009_E029|B05009_M029|B05009_E030|B05009_M030|B05009_E031|B05009_M031|B05009_E032|B05009_M032|B05009_E033|B05009_M033|B05009_E034|B05009_M034|B05009_E035|B05009_M035|B05009_E036|B05009_M036|B05009_E037|B05009_M037
1400000US36047019700|911|292|458|146|360|147|360|147|0|13|199|90|26|29|26|29|0|13|135|119|135|119|0|13|98|76|98|76|0|13|83|72|15|23|15|23|0|13|453|228|254|130|202|104|52|56|137|87|88|90|36|42|52|56|29|32|29|32|0|13|199|175|199|175|0|13|146|163|53|78|53|78|0|13
1400000US36047019800|394|107|99|58|99|58|99|58|0|13|27|34|45|40|45|40|0|13|27|21|27|21|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|295|89|252|71|252|71|0|13|37|34|192|53|192|53|0|13|23|37|23|37|0|13|43|61|43|61|0|13|0|13|43|61|43|61|0|13
1400000US36047019900|565|182|321|121|230|118|230|118|0|13|165|105|65|65|65|65|0|13|0|13|0|13|0|13|91|94|91|94|0|13|91|94|0|13|0|13|0|13|244|135|205|139|205|139|0|13|116|106|53|63|53|63|0|13|36|56|36|56|0|13|39|53|39|53|0|13|14|35|25|39|25|39|0|13
1400000US36047020000|433|164|64|36|37|31|37|31|0|13|13|15|19|28|19|28|0|13|5|7|5|7|0|13|27|24|27|24|0|13|14|17|13|19|13|19|0|13|369|155|195|142|169|139|26|42|110|120|59|49|59|49|0|13|26|42|0|13|26|42|174|97|123|67|51|39|40|44|134|91|83|57|51|39
1400000US36047020100|613|166|385|149|234|121|234|121|0|13|147|92|37|55|37|55|0|13|50|56|50|56|0|13|151|104|151|104|0|13|151|104|0|13|0|13|0|13|228|124|204|122|204|122|0|13|39|42|39|58|39|58|0|13|126|108|126|108|0|13|24|26|24|26|0|13|12|18|12|19|12|19|0|13
1400000US36047020200|402|181|177|107|118|90|118|90|0|13|42|55|35|39|35|39|0|13|41|60|41|60|0|13|59|54|56|54|3|4|19|26|40|49|37|48|3|4|225|99|141|80|141|80|0|13|45|39|59|41|59|41|0|13|37|55|37|55|0|13|84|66|84|66|0|13|17|23|67|63|67|63|0|13
1400000US36047020300|410|183|112|57|103|56|103|56|0|13|51|38|20|19|20|19|0|13|32|32|32|32|0|13|9|15|9|15|0|13|9|15|0|13|0|13|0|13|298|181|141|48|92|48|49|46|51|33|60|43|11|16|49|46|30|29|30|29|0|13|157|174|157|174|0|13|151|173|6|11|6|11|0|13
1400000US36047020400|278|79|24|25|19|24|19|24|0|13|19|24|0|13|0|13|0|13|0|13|0|13|0|13|5|9|5|9|0|13|5|9|0|13|0|13|0|13|254|73|227|62|227|62|0|13|124|62|71|46|71|46|0|13|32|34|32|34|0|13|27|30|27|30|0|13|0|13|27|30|27|30|0|13
1400000US36047020500|781|286|322|146|205|63|205|63|0|13|131|76|0|13|0|13|0|13|74|67|74|67|0|13|117|128|117|128|0|13|117|128|0|13|0|13|0|13|459|267|383|265|383|265|0|13|353|263|0|13|0|13|0|13|30|35|30|35|0|13|76|70|76|70|0|13|76|70|0|13|0|13|0|13
1400000US36047020600|591|221|308|206|287|207|257|195|30|43|60|71|218|196|188|182|30|43|9|13|9|13|0|13|21|23|21|23|0|13|21|23|0|13|0|13|0|13|283|98|196|91|131|86|65|50|43|39|130|63|65|45|65|50|23|40|23|40|0|13|87|71|87|71|0|13|30|36|57|64|57|64|0|13
